step,loss,lr
1,2.5753,2.0000000000000002e-07
2500,2.2351,9.596161616161617e-05
5000,2.2048,9.091111111111111e-05
7500,2.2041,8.586464646464647e-05
10000,2.201,8.081414141414143e-05
12500,2.1982,7.576767676767678e-05
15000,2.1989,7.071919191919192e-05
17500,2.1969,6.567070707070707e-05
20000,2.1945,6.062222222222222e-05
22500,2.1929,5.557373737373738e-05
25000,2.192,5.052727272727274e-05
27500,2.1918,4.547878787878788e-05
30000,2.1886,4.043030303030304e-05
32500,2.189,3.538181818181818e-05
35000,2.1871,3.0333333333333337e-05
37500,2.1855,2.5286868686868686e-05
40000,2.185,2.023838383838384e-05
42500,2.1837,1.518989898989899e-05
45000,2.1827,1.0141414141414142e-05
47500,2.1832,5.092929292929293e-06
50000,2.1809,4.646464646464647e-08
50000,2.193799914326668,None
